[[1347  130   11    1    1    0    0    0    0    0    0    0]
 [  92 3149    7    0    1    0    0    0    0    0    0    0]
 [  14    9  316    0    0    0    0    0    0    0    0    0]
 [   5   14    0   39    0    0    0    0    0    0    0    0]
 [   3   40    0    0   72    0    0    0    0    0    0    0]
 [  10    1    0    0    1    0    0    0    0    0    0    0]
 [   4    3    0    0    0    0    0    0    0    0    0    0]
 [   3    0    1    0    0    0    0    0    0    0    0    0]
 [   1    3    0    0    0    0    0    0    0    0    0    0]
 [   1    2    0    0    0    0    0    0    0    0    0    0]
 [   0    1    0    0    0    0    0    0    0    0    0    0]
 [   0    1    0    0    0    0    0    0    0    0    0    0]]
