[[1700   24    3    2    0    2    1    0    0    0    0    0    0]
 [  51 1346    0    3    0    4    0    0    0    0    0    0    0]
 [   4    3   23    1    0    1    0    0    0    0    0    0    0]
 [  18    9    1   17    2    0    0    0    0    0    0    0    0]
 [   3    1    0    0    1    0    0    0    0    0    0    0    0]
 [   2    5    3    0    0   83    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    2    0    0    0    0    0    0]
 [   5    0    0    0    0    0    0    0    0    0    0    0    0]
 [   2    0    0    0    0    0    0    0    0    0    0    0    0]
 [   0    1    0    0    0    0    0    0    0    0    0    0    0]
 [   0    1    0    0    0    0    0    0    0    0    0    0    0]
 [   0    0    0    0    0    0    0    0    0    0    0    1    0]
 [   1    0    0    0    0    0    0    0    0    0    0    0    0]]
